file,formula,ismetal,H-mass,e-mass,bandgap,bandgap_type,formation_energy_per_atom,ehull,¦Å¡Î ,¦Å¡Í 
1,Bi2I2O,TRUE,,,-2.7898,Indirect,-0.5297501,0.594526347,,
2,Bi2K2Mn,TRUE,,,-0.4612,Indirect,0.697860414,1.108021287,,
3,Bi2O3,FALSE,2.023,-4.166,2.6442,Indirect,-1.98661011,0.2507593,,
4,Bi7Br8Rh,FALSE,1.071,0.373,0.9361,Indirect,-0.783689118,0.125187943,,
5,AlCl8Nb,FALSE,-0.55,-5.422,2.067,Indirect,-1.48190396,0.0818363,,
6,BiF20Sb3,FALSE,-21.86,-16.568,2.0573,Indirect,-2.074108648,0.014700563,,
7,BiF9Xe,FALSE,60.515,-9.954,1.9416,Indirect,-1.179317555,0.023027273,,
8,BiO5Re,FALSE,6.173,-17.123,2.6933,Indirect,-2.357836643,0.168317202,,
9,BiTe2Th2,TRUE,,,-2.0244,Indirect,0.14843439,1.299244263,,
10,Br12TeZr2,FALSE,-4.413,-2.497,2.4258,Indirect,-1.42570272,0.092901667,,
11,Br2C3O,FALSE,20.533,4.141,1.2267,Indirect,-0.385827593,0.387942125,,
12,Br2CSe4,FALSE,-2.98,23.731,1.3285,Indirect,-0.145265109,0.340275693,,
13,Br2CuN2,TRUE,,,-0.5708,Indirect,0.622267828,1.43135479,,
14,Br2Dy2O,TRUE,,,-0.2914,Indirect,-1.597014542,1.259799131,,
15,Br2Er2O,TRUE,,,-0.2772,Indirect,-1.620813812,1.227446767,,
16,Br2FPb2,TRUE,,,-2.0636,Indirect,-0.798419772,0.74539856,,
17,Br2FSm2,TRUE,,,-0.5044,Indirect,-1.486109232,0.872077503,,
18,Br2FTm2,TRUE,,,-0.5786,Indirect,-1.547624292,0.81959998,,
19,Br2FYb2,TRUE,,,-0.6042,Indirect,-1.551480412,0.55154022,,
20,Br2Ge2S3,FALSE,12.895,3.42,2.3175,Indirect,-0.556780249,0.051520143,,
21,Br2Ho2O,TRUE,,,-0.2605,Indirect,-1.605219032,1.246997862,,
22,Br2La2O,TRUE,,,-0.1519,Indirect,-1.571552712,1.281742875,,
23,Br2Lu2O,TRUE,,,-0.3441,Indirect,-1.656032472,1.202444953,,
24,Br2N2Zn,TRUE,,,0.2235,Indirect,0.170690558,0.896071711,,
25,Br2NP,FALSE,21.556,-3.483,3.0378,Indirect,-0.523345035,0.047571075,3.438378964,3.679346451
26,Br2NTh2,TRUE,,,-0.4715,Indirect,-0.681259502,1.28795653,,
27,Br2NU2,TRUE,,,-0.3386,Indirect,-0.260373942,1.3975402,,
28,Br2Nd2O,TRUE,,,-0.2132,Indirect,-1.474992202,1.35109835,,
29,AgF9Xe,FALSE,6.679,-6.368,1.5684,Indirect,-0.622617127,0.008537586,,
30,Br2O3,FALSE,49.814,-69.491,1.9605,Direct,-0.770074952,0.3144466,,
31,Br2OPr2,TRUE,,,-0.2088,Indirect,-1.508048792,1.355071417,,
32,Br2OPu2,TRUE,,,-0.2252,Indirect,-0.444418812,1.135154383,,
33,Br2OS,FALSE,3.42,-3.399,2.6398,Direct,-0.944327789,0.103487594,,
34,AlI3,FALSE,10.655,-2.274,3.0725,Indirect,-0.611693125,0.093639,3.244740188,2.621894355
35,Br2OSm2,TRUE,,,-0.2287,Indirect,-1.510062172,1.32726635,,
36,Br2OTb2,TRUE,,,-0.2493,Indirect,-1.576664979,1.271973093,,
